target,model,feature,importance
n,RandomForest,crops_lettuce,0.014952948563407835
n,RandomForest,"crops_lettuce,custom_chinese",1.9595781453791455e-05
n,RandomForest,"crops_lettuce,custom_follow_through",0.0
n,RandomForest,"crops_lettuce,custom_iceberg",2.295697301027665e-17
n,RandomForest,"crops_lettuce,custom_iceberg_lettuce",0.0006209460229142327
n,RandomForest,crops_potato,0.002640213443593907
n,RandomForest,crops_radish,0.02984285542530182
n,RandomForest,crops_tomato,2.4973283346585176e-17
n,SVM,B01,0.0
n,SVM,B02,0.0
n,SVM,B03,0.0
n,SVM,B04,0.0
n,SVM,B05,0.0
n,SVM,B06,0.0
n,SVM,B07,0.0
n,SVM,B08,-0.003157894736842115
n,SVM,B8A,0.0
n,SVM,B09,0.0
n,SVM,B11,-0.003157894736842115
n,SVM,B12,0.0
n,SVM,B01_std,0.0
n,SVM,B02_std,0.0
n,SVM,B03_std,-0.00526315789473687
n,SVM,B04_std,-0.00631578947368423
n,SVM,B05_std,-0.017894736842105317
n,SVM,B06_std,-0.00526315789473687
n,SVM,B07_std,-0.00526315789473687
n,SVM,B08_std,0.0
n,SVM,B8A_std,-0.00526315789473687
n,SVM,B09_std,-0.0021052631578947433
n,SVM,B11_std,-0.004210526315789487
n,SVM,B12_std,-0.006315789473684242
n,SVM,temperature_c,0.017894736842105206
n,SVM,humidity_percent,-0.01263157894736846
n,SVM,altitude_m,0.0
n,SVM,elevation_m,0.0
n,SVM,slope_deg,-0.008421052631578985
n,SVM,aspect_deg,-3.3306690738754695e-17
n,SVM,twi,-0.008421052631578985
n,SVM,curvature,-0.0021052631578947433
n,SVM,northness,-0.022105263157894794
n,SVM,eastness,-0.005263157894736881
n,SVM,sg_phh2o_0-5cm,0.0
n,SVM,sg_phh2o_5-15cm,0.0
n,SVM,sg_soc_0-5cm,0.0
n,SVM,sg_soc_5-15cm,0.0
n,SVM,sg_nitrogen_0-5cm,0.0
n,SVM,sg_nitrogen_5-15cm,0.0
n,SVM,sg_clay_0-5cm,0.0063157894736841635
n,SVM,sg_clay_5-15cm,0.0063157894736841635
n,SVM,sg_sand_0-5cm,0.0
n,SVM,sg_sand_5-15cm,0.0
n,SVM,sg_cec_0-5cm,0.0
n,SVM,sg_cec_5-15cm,0.0063157894736841635
n,SVM,NDVI,0.0
n,SVM,EVI,0.0
n,SVM,SAVI,0.0
n,SVM,MSAVI,0.0
n,SVM,NDRE,-0.021052631578947423
n,SVM,CHL_re,-0.013684210526315844
n,SVM,BSI,0.0
n,SVM,BI,0.0
n,SVM,NDWI,0.0
n,SVM,NDMI,0.0
n,SVM,crops_broccoli,0.0
n,SVM,crops_cabbage,-0.036842105263157954
n,SVM,"crops_cabbage,custom_chinese",0.0
n,SVM,"crops_cabbage,custom_chinese_cabbage",0.0031578947368420818
n,SVM,crops_carrot,0.0
n,SVM,"crops_carrot,lettuce,custom_green_ice",0.0
n,SVM,crops_corn,0.0
n,SVM,crops_lettuce,0.009473684210526256
n,SVM,"crops_lettuce,custom_chinese",0.0
n,SVM,"crops_lettuce,custom_follow_through",0.0
n,SVM,"crops_lettuce,custom_iceberg",0.0
n,SVM,"crops_lettuce,custom_iceberg_lettuce",0.0
n,SVM,crops_potato,0.004210526315789442
n,SVM,crops_radish,-0.0021052631578947654
n,SVM,crops_tomato,0.0
n,FCNN,B01,-0.007368421052631535
n,FCNN,B02,-0.0031578947368420705
n,FCNN,B03,-0.010526315789473639
n,FCNN,B04,0.009473684210526367
n,FCNN,B05,-0.010526315789473639
n,FCNN,B06,-0.0031578947368420484
n,FCNN,B07,-0.012631578947368383
n,FCNN,B08,-0.0031578947368420705
n,FCNN,B8A,2.2204460492503132e-17
n,FCNN,B09,-0.025263157894736786
n,FCNN,B11,-0.008421052631578907
n,FCNN,B12,-0.008421052631578918
n,FCNN,B01_std,-0.008421052631578907
n,FCNN,B02_std,-0.010526315789473651
n,FCNN,B03_std,-0.0010526315789473385
n,FCNN,B04_std,-0.014736842105263104
n,FCNN,B05_std,-0.005263157894736803
n,FCNN,B06_std,-0.021052631578947323
n,FCNN,B07_std,-0.008421052631578895
n,FCNN,B08_std,-0.006315789473684175
n,FCNN,B8A_std,-0.011578947368421
n,FCNN,B09_std,-0.01789473684210522
