cluster,lat,lon,month,ndvi_mean,ndvi_max,tile_count
"16.6200,120.7600",16.62,120.76,2025-11,0.2872372813335173,0.2872372813335173,1
"16.6200,120.7600",16.62,120.76,2025-12,0.29803639127375453,0.34846832704133246,3
"16.6400,120.7600",16.64,120.76,2025-11,0.13710432721355337,0.13710432721355337,1
